instruction,response
What are the eligibility criteria for admission to the college?,You can find the eligibility criteria for admission to the college at https://jacchd.admissions.nic.in/eligibility-status/.
What is the academic calendar of the college?,You can find the academic calendar of the college at http://www.ccet.ac.in/academicCalendar.php.
Where can I find the student forms?,You can find the student forms at http://www.ccet.ac.in/forms.php.
What is the student grievances redressal system?,The student grievances redressal system is available at http://www.ccet.ac.in/grievances/login.php.
What is the link to the RTI page?,The link to the RTI page is [http://www.ccet.ac.in/rti.php](http://www.ccet.ac.in/rti.php).
How can I download important documents?,You can download important documents from the [Downloads](http://www.ccet.ac.in/downloads.php) section.
What is the mission and vision of CCET?,The mission and vision of CCET can be found on the [Vision and Mission](http://www.ccet.ac.in/history.php#vissionAndMission) page.
How do I reach the campus?,You can find directions to the campus on the [How To Reach Us](http://www.ccet.ac.in/visit.php) page.
Who are the officials at CCET?,The officials at CCET can be found on the [Officials at CCET](http://www.ccet.ac.in/deans.php) page.
What are the facilities available on campus?,"You can find information on campus facilities such as classrooms, canteen, infrastructure, and sports facilities on the [Life @ CCET](http://www.ccet.ac.in/campusTour.php) page."
How do I apply for admission?,You can find admission notices and guidance on the [Admissions](http://www.ccet.ac.in/admission_notices.php) page.
What are the different programs offered at CCET?,"CCET offers degree courses, Ph.D. programs, and other programs. You can find more information on the [Programmes](http://www.ccet.ac.in/degreeCourse.php) page."
What is the eligibility criteria for admission?,The eligibility criteria for admission can be found on the [Criteria](https://jacchd.admissions.nic.in/eligibility-status/) page.
What are the different academic departments at CCET?,"CCET has various academic departments such as Computer Science Engineering, Mechanical Engineering, and more. You can find more information on the [Academic Departments](http://www.ccet.ac.in/CSE-overview.php) page."
What are the mandatory disclosures made by CCET?,"CCET makes various mandatory disclosures such as the EoA Report, AICTE Report, and more. You can find more information on the [Mandatory Disclosure](http://www.ccet.ac.in/pdf/AICTE/EOA-Report2023-24.PDF) page."
What are the courses offered at CCET?,You can find information on the courses offered at CCET on the [Courses Offered](http://www.ccet.ac.in/coursesOffered.php) page.
What are the student welfare services available?,"CCET provides various student welfare services such as scholarships, student forms, and more. You can find more information on the [Student Welfare](http://www.ccet.ac.in/scholarship.php) page."
What is the history of Chandigarh College of Engineering and Technology?,"The history of CCET can be found on the 'History' page, which can be accessed through the 'About Us' section on the website. [http://www.ccet.ac.in/history.php](http://www.ccet.ac.in/history.php)"
What are the vision and mission of CCET?,"The vision and mission of CCET can be found on the 'Vision and Mission' page, which can be accessed through the 'About Us' section on the website. [http://www.ccet.ac.in/history.php#vissionAndMission](http://www.ccet.ac.in/history.php#vissionAndMission)"
How do I reach CCET?,"The directions to reach CCET can be found on the 'How To Reach Us' page, which can be accessed through the 'About Us' section on the website. [http://www.ccet.ac.in/visit.php](http://www.ccet.ac.in/visit.php)"
Who is the principal of CCET?,"The principal of CCET can be found on the 'Principal' page, which can be accessed through the 'Administration' section on the website. [http://www.ccet.ac.in/principal.php](http://www.ccet.ac.in/principal.php)"
What facilities are available at CCET?,"CCET offers various facilities such as class rooms, canteen, infrastructure, and sports facilities. These can be explored on the 'Life @ CCET' section on the website."
What are the admission notices for CCET?,"The admission notices for CCET can be found on the 'Admission Notices' page, which can be accessed through the 'Admissions' section on the website. [http://www.ccet.ac.in/admission_notices.php](http://www.ccet.ac.in/admission_notices.php)"
What degree courses are offered at CCET?,"CCET offers various degree courses, which can be found on the 'Degree Course' page, which can be accessed through the 'Admissions' section on the website. [http://www.ccet.ac.in/degreeCourse.php](http://www.ccet.ac.in/degreeCourse.php)"
What is the Counselling Schedule for JAC admissions?,"The Counselling Schedule for JAC admissions can be found on the JAC Portal, which can be accessed through the 'Admissions' section on the website. [https://jacchd.admissions.nic.in/schedule/](https://jacchd.admissions.nic.in/schedule/)"
What are the eligibility criteria for admissions at CCET?,"The eligibility criteria for admissions at CCET can be found on the JAC Portal, which can be accessed through the 'Admissions' section on the website. [https://jacchd.admissions.nic.in/eligibility-status/](https://jacchd.admissions.nic.in/eligibility-status/)"
What are the academic departments at CCET?,"CCET has various academic departments, including Computer Science Engineering, Mechanical Engineering, Electronics And Communication Engineering, Civil Engineering, and Applied Science. These can be explored on the 'Academic Departments' page, which can be accessed through the 'Academics' section on the website."
What is E-Akadamik?,"E-Akadamik is an online platform for academics, which can be accessed through the 'Academics' section on the website. [http://eakadamik.in/ccet/](http://eakadamik.in/ccet/)"
What is CCET Moodle?,"CCET Moodle is an online learning management system, which can be accessed through the 'Academics' section on the website. [http://192.168.13.19/moodle/](http://192.168.13.19/moodle/)"
What are the mandatory disclosures for CCET?,"The mandatory disclosures for CCET can be found on the 'Mandatory Disclosure' page, which can be accessed through the 'Academics' section on the website. These include EoA reports, AICTE reports, and more."
What courses are offered at CCET?,"CCET offers various courses, which can be found on the 'Courses Offered' page, which can be accessed through the 'Academics' section on the website. [http://www.ccet.ac.in/coursesOffered.php](http://www.ccet.ac.in/coursesOffered.php)"
What is the academic calendar for CCET?,"The academic calendar for CCET can be found on the 'Academic Calendar' page, which can be accessed through the 'Academics' section on the website. [http://www.ccet.ac.in/academicCalendar.php](http://www.ccet.ac.in/academicCalendar.php)"
What student forms are available at CCET?,"Various student forms are available at CCET, which can be found on the 'Student Forms' page, which can be accessed through the 'Student Section' on the website. [http://www.ccet.ac.in/forms.php](http://www.ccet.ac.in/forms.php)"
What scholarships are available for CCET students?,"Various scholarships are available for CCET students, which can be found on the 'Scholarships' page, which can be accessed through the 'Student Section' on the website. [http://www.ccet.ac.in/scholarship.php](http://www.ccet.ac.in/scholarship.php)"
What is the student grievances redressal system at CCET?,"The student grievances redressal system at CCET can be found on the 'Student Grievances Redressal System' page, which can be accessed through the 'Student Section' on the website. [http://www.ccet.ac.in/grievances/login.php](http://www.ccet.ac.in/grievances/login.php)"
What are the quick links available on the CCET website?,"The quick links available on the CCET website are RTI, Downloads, Contact Us, NIRF, and social media links."
How can I learn more about the history of CCET?,You can learn more about the history of CCET by visiting the [History](http://www.ccet.ac.in/history.php) section of the website.
What is the vision and mission of CCET?,You can find out more about the vision and mission of CCET by visiting the [Vision and Mission](http://www.ccet.ac.in/history.php#vissionAndMission) section of the website.
How do I get in touch with the administration of CCET?,"You can get in touch with the administration of CCET by visiting the [Principal](http://www.ccet.ac.in/principal.php), [Officials at CCET](http://www.ccet.ac.in/deans.php), and [Academic Heads](http://www.ccet.ac.in/academicHeads.php) sections of the website."
What kind of facilities are available on campus?,"CCET has various facilities available on campus, including [Class Rooms](http://www.ccet.ac.in/classRooms.php), [Canteen](http://www.ccet.ac.in/canteen.php), [Infrastructure](http://www.ccet.ac.in/infrastructure.php), and [Sports Facility](http://www.ccet.ac.in/sportsFacility.php)."
How do I apply for admission to CCET?,"You can find information on admission to CCET by visiting the [Admissions](http://www.ccet.ac.in/campusTour.php#) section of the website, which includes [Admission Notices](http://www.ccet.ac.in/admission_notices.php), [Help Desk](http://www.ccet.ac.in/HelpDesk.php), and information on various programs."
What are the academic departments available at CCET?,"CCET has various academic departments, including [Computer Science Engineering](http://www.ccet.ac.in/CSE-overview.php), [Mechanical Engineering](http://www.ccet.ac.in/MECH-overview.php), [Electronics And Communication Engineering](http://www.ccet.ac.in/ECE-overview.php), [Civil Engineering](http://www.ccet.ac.in/CIVIL-overview.php), and [Applied Science](http://www.ccet.ac.in/AS-overview.php)."
What kind of student services are available at CCET?,"CCET offers various student services, including [Student Forms](http://www.ccet.ac.in/forms.php), [Vidya Lakshmi (Education Loan)](https://www.vidyalakshmi.co.in/Students/indexPopup), [National Apprenticeship Training](http://mhrdnats.gov.in/), [Scholarships](http://www.ccet.ac.in/scholarship.php), and the [Student Grievances Redressal System](http://www.ccet.ac.in/grievances/login.php)."
How can I access the academic calendar of CCET?,You can access the academic calendar of CCET by visiting the [Academic Calender](http://www.ccet.ac.in/academicCalendar.php) section of the website.
What is the process for filing a student grievance?,You can file a student grievance by visiting the [Student Grievances Redressal System](http://www.ccet.ac.in/grievances/login.php) section of the website and following the steps outlined.
What is the URL source of the college website?,The URL source of the college website is http://www.ccet.ac.in/campusTour.php.
How can I get information about RTI?,"You can find information about RTI by visiting http://www.ccet.ac.in/rti.php. For more information, please refer to the RTI page."
Where can I find the campus map?,"You can find the campus map by visiting http://www.ccet.ac.in/campus.php. For more information, please refer to the campus map page."
What are the academic departments offered by CCET?,"CCET offers several academic departments, including Computer Science Engineering, Mechanical Engineering, Electronics And Communication Engineering, Civil Engineering, and Applied Science. For more information, please visit the respective department pages."
How can I apply for admission to CCET?,"You can find information about the admission process by visiting http://www.ccet.ac.in/admission_notices.php. For more information, please refer to the admissions page."
What is the eligibility criteria for admission to CCET?,"You can find information about the eligibility criteria by visiting https://jacchd.admissions.nic.in/eligibility-status/. For more information, please refer to the eligibility page."
What are the facilities available on the CCET campus?,"CCET offers several facilities, including classrooms, canteen, infrastructure, and sports facilities. For more information, please visit the campus facilities page."
How can I access the student portal?,"You can access the student portal by visiting http://eakadamik.in/ccet/. For more information, please refer to the student portal page."
What are the academic programs offered by CCET?,"CCET offers several academic programs, including degree courses, doctorate (Ph.D.), and other programs. For more information, please visit the academics page."
How can I contact CCET?,"You can contact CCET by visiting http://www.ccet.ac.in/contact.php. For more information, please refer to the contact us page."
What is the URL of the Chandigarh College of Engineering and Technology website?,"The URL of the Chandigarh College of Engineering and Technology website is http://www.ccet.ac.in/. For more information, you can visit the website."
How to reach Chandigarh College of Engineering and Technology?,"To know how to reach Chandigarh College of Engineering and Technology, please visit http://www.ccet.ac.in/visit.php. You can find the detailed directions and map on this page."
What are the academic departments available at CCET?,"The academic departments available at CCET are Computer Science Engineering, Mechanical Engineering, Electronics And Communication Engineering, Civil Engineering, and Applied Science. For more information, you can visit http://www.ccet.ac.in/. Each department has its own overview page with details on courses and faculties."
What is the eligibility criteria for admission to CCET?,"The eligibility criteria for admission to CCET can be found on the Joint Admission Committee (JAC) website, https://jacchd.admissions.nic.in/eligibility-status/. Please visit this page for the detailed eligibility criteria."
What are the sports facilities available at CCET?,"The sports facilities available at CCET can be found on the sports facility page, http://www.ccet.ac.in/sportsFacility.php. You can visit this page to know more about the sports infrastructure and facilities available at the college."
How to apply for admission to CCET?,"To apply for admission to CCET, please visit the JAC portal, https://jacchd.admissions.nic.in/. You can find the admission notices, counselling schedule, and other relevant information on this portal."
What are the student welfare services available at CCET?,"The student welfare services available at CCET include officials at student welfare, student grievances redressal system, and more. You can visit http://www.ccet.ac.in/deanStudentWelfare.php to know more about these services."
What are the scholarships available for CCET students?,"The scholarships available for CCET students can be found on the scholarship page, http://www.ccet.ac.in/scholarship.php. You can visit this page to know more about the available scholarships and application procedures."
What are the available resources on the college website?,"The college website has resources such as RTI, Downloads, Contact Us, and more. For additional resources, visit [http://www.ccet.ac.in/](http://www.ccet.ac.in/)."
How can I learn more about the college's history and vision?,"To learn more about the college's history and vision, visit [http://www.ccet.ac.in/history.php](http://www.ccet.ac.in/history.php) and [http://www.ccet.ac.in/history.php#vissionAndMission](http://www.ccet.ac.in/history.php#vissionAndMission)."
What academic departments are available in the college?,"The college has academic departments such as Computer Science Engineering, Mechanical Engineering, Electronics And Communication Engineering, Civil Engineering, and Applied Science. For more information, visit [http://www.ccet.ac.in/CSE-overview.php](http://www.ccet.ac.in/CSE-overview.php), [http://www.ccet.ac.in/MECH-overview.php](http://www.ccet.ac.in/MECH-overview.php), and more."
What are the available courses and programmes offered by the college?,"The college offers courses and programmes such as Degree Course, Degree Course (PU-LEET), and Doctorate (Phd). For more information, visit [http://www.ccet.ac.in/degreeCourse.php](http://www.ccet.ac.in/degreeCourse.php) and [http://www.ccet.ac.in/phd.php](http://www.ccet.ac.in/phd.php)."
How can I get admission to the college?,"For admission, visit [https://jacchd.admissions.nic.in/](https://jacchd.admissions.nic.in/) and follow the counselling schedule. For eligibility criteria, visit [https://jacchd.admissions.nic.in/eligibility-status/](https://jacchd.admissions.nic.in/eligibility-status/)."
What is the JAC counselling schedule?,The JAC counselling schedule can be found at [https://jacchd.admissions.nic.in/schedule/](https://jacchd.admissions.nic.in/schedule/).
Where can I find the NIRF report of the college?,The NIRF report of the college can be found at [http://www.ccet.ac.in/pdf/NIRFReport2023.pdf](http://www.ccet.ac.in/pdf/NIRFReport2023.pdf).
What is the student grievance redressal system?,The student grievance redressal system can be accessed at [http://www.ccet.ac.in/grievances/login.php](http://www.ccet.ac.in/grievances/login.php).
What scholarships are available for students?,Scholarship information can be found at [http://www.ccet.ac.in/scholarship.php](http://www.ccet.ac.in/scholarship.php).
What is RTI and how can I access it?,RTI stands for Right to Information. You can access RTI information on our website by clicking on the 'RTI' link at the top of the page.
How do I get to the college?,You can find directions to the college on our website by clicking on 'How To Reach Us' under the 'About Us' section.
What are the admission procedures for degree courses?,"You can find admission notices and procedures on our website by clicking on 'Admissions' and then 'Admission Notices' or 'Help Desk'. Additionally, you can visit the JAC portal for more information."
What programs are offered by the college?,"We offer degree courses, degree courses (PU-LEET), and doctorate (PhD) programs. You can find more information on each program by clicking on 'Admissions' and then 'Programmes'."
What are the eligibility criteria for admissions?,"You can find eligibility criteria on the JAC website by clicking on 'Eligibility'. Additionally, you can check the JAC brochure for more information."
What are the various academic departments in the college?,"We have departments for Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. You can find more information on each department by clicking on 'Academics' and then 'Academic Departments'."
How do I access academic resources such as e-Akadamik and CCET Moodle?,You can access e-Akadamik and CCET Moodle by clicking on 'Academics' and then 'E-Akadamik' or 'CCET Moodle'. You will be redirected to the respective portals.
What is the student grievance redressal system?,We have a student grievance redressal system in place to address student concerns. You can access it by clicking on 'Student Section' and then 'Student Grievances Redressal System'.
What are the student welfare services offered by the college?,"We offer various student welfare services, including officials at student welfare, student council, and more. You can find more information by clicking on 'Student Section' and then 'Student Welfare'."
How do I access student forms and scholarships?,"You can access student forms by clicking on 'Student Section' and then 'Student Forms'. For scholarships, you can click on 'Scholarships' under 'Student Section'."
What is the purpose of the NIRF report?,The NIRF report provides information on institutional ranking and performance. You can access the NIRF report 2023 by clicking on this link: http://www.ccet.ac.in/pdf/NIRFReport2023.pdf.
How can I contact the college?,"You can contact the college through the Contact Us page: http://www.ccet.ac.in/contact.php. You can also reach out to the principal, officials, and academic heads through their respective pages."
What are the courses offered by the college?,"The college offers various degree courses, including Computer Science Engineering, Mechanical Engineering, Electronics And Communication Engineering, Civil Engineering, and Applied Science. You can find more information on the Courses Offered page: http://www.ccet.ac.in/coursesOffered.php."
How can I apply for admission to the college?,"You can find admission notices, help desk information, and programme details on the Admissions page: http://www.ccet.ac.in/admission_notices.php. You can also visit the JAC portal for counselling schedules, brochures, and other admission-related information."
What is the eligibility criteria for admission?,"You can find the eligibility criteria on the JAC website: https://jacchd.admissions.nic.in/eligibility-status/. Additionally, you can check the admission notices and programme details on the Admissions page: http://www.ccet.ac.in/admission_notices.php."
What are the facilities available on campus?,"The college has various facilities, including class rooms, canteen, infrastructure, sports facilities, and more. You can take a virtual tour of the campus and explore the facilities on the Campus Virtual Tour page: http://www.ccet.ac.in/campusTour.php."
How can I access student forms and scholarships?,"You can access student forms, Vidya Lakshmi education loan, national apprenticeship training, scholarships, and grievances redressal system on the Student Section page: http://www.ccet.ac.in/forms.php."
What is the academic calendar for the college?,"You can find the academic calendar on the Academics page: http://www.ccet.ac.in/academicCalendar.php. Additionally, you can check the convocation and student feedback information on the same page."
How can I access the CCET Moodle and E-Akadamik platforms?,You can access the CCET Moodle platform at http://192.168.13.19/moodle/ and the E-Akadamik platform at http://eakadamik.in/ccet/. These platforms provide online resources and learning materials for students.
What is the role of the student welfare department?,"The student welfare department provides various services and facilities to students, including officials, scholarships, and grievances redressal system. You can find more information on the Student Welfare page: http://www.ccet.ac.in/studentWelfare.php."
What is the official website of Chandigarh College of Engineering and Technology?,"The official website of Chandigarh College of Engineering and Technology is http://ccet.ac.in/. For more information, you can visit the website and explore the various sections."
What are the different departments available in the college?,"The college has various academic departments, including Computer Science Engineering, Mechanical Engineering, Electronics And Communication Engineering, Civil Engineering, and Applied Science. For more information on each department, you can visit the respective links: http://ccet.ac.in/CSE-overview.php, http://ccet.ac.in/MECH-overview.php, http://ccet.ac.in/ECE-overview.php, http://ccet.ac.in/CIVIL-overview.php, and http://ccet.ac.in/AS-overview.php."
How do I contact the college for admissions-related queries?,"For admissions-related queries, you can visit the Help Desk at http://ccet.ac.in/HelpDesk.php. You can also check the Admission Notices at http://ccet.ac.in/admission_notices.php and the Programmes offered by the college at http://ccet.ac.in/degreeCourse.php and http://ccet.ac.in/leetAdmission.php."
What are the eligibility criteria for admissions?,The eligibility criteria for admissions can be found at https://jacchd.admissions.nic.in/eligibility-status/. You can also check the JAC Portal at https://jacchd.admissions.nic.in/ for more information.
How do I access the college's academic resources?,"The college provides various academic resources, including the E-Akadamik platform at http://eakadamik.in/ccet/, the E-Cell at http://ccet.ac.in/Ecell.php, and the CCET Moodle at http://192.168.13.19/moodle/. You can also check the Students Feedback at https://smartcookie.in/. For more information, you can visit the Academics section at http://ccet.ac.in/MECH-faculty.php#."
What kind of student welfare services are available in the college?,"The college provides various student welfare services, including the Student Council at http://ccet.ac.in/studentCouncil.php, Anti Ragging at http://ccet.ac.in/antiRagging.php, and Anti Ragging Committee at http://ccet.ac.in/antiRaggingCommittee.php. You can also access the Student Grievances Redressal System at http://ccet.ac.in/grievances/login.php. For more information, you can visit the Student Section at http://ccet.ac.in/MECH-faculty.php#."
How do I pay my student fees?,"You can pay your student fees through the HDFC payment portal at https://paydirect.eduqfix.com/app/3qTjKfysWsfqEyNTM4giVFX4VGVY. For more information, you can visit the Student Section at http://ccet.ac.in/MECH-faculty.php#."
What are the facilities available in the college campus?,"The college campus has various facilities, including Class Rooms at http://ccet.ac.in/classRooms.php, Canteen at http://ccet.ac.in/canteen.php, Infrastructure at http://ccet.ac.in/infrastructure.php, and Sports Facility at http://ccet.ac.in/sportsFacility.php. You can also take a Virtual Tour of the campus at http://ccet.ac.in/campusTour.php. For more information, you can visit the Life @ CCET section at http://ccet.ac.in/MECH-faculty.php#."
How do I access the college's NIRF report?,"You can access the college's NIRF report at http://ccet.ac.in/pdf/NIRFReport2023.pdf. For more information, you can visit the Academics section at http://ccet.ac.in/MECH-faculty.php#."
What is the URL source of the Chandigarh College of Engineering and Technology website?,The URL source of the Chandigarh College of Engineering and Technology website is http://www.ccet.ac.in/MECH-syllabus.php.
What are the links available in the header section of the website?,"The links available in the header section of the website are RTI, Downloads, Contact Us, and Last Updated."
How can I change the font size of the website content?,"You can change the font size of the website content by clicking on the A+, A, or A- links at the top of the page."
What are the social media links available on the website?,"The social media links available on the website are Instagram, LinkedIn, Facebook, and an email address (pr@ccet.ac.in)."
What is the history of Chandigarh College of Engineering and Technology?,You can find the history of Chandigarh College of Engineering and Technology by clicking on the 'History' link under the 'About Us' section. [http://www.ccet.ac.in/history.php](http://www.ccet.ac.in/history.php)
What are the administration officials at CCET?,You can find the administration officials at CCET by clicking on the 'Officials at CCET' link under the 'Administration' section. [http://www.ccet.ac.in/deans.php](http://www.ccet.ac.in/deans.php)
What are the academic departments available at CCET?,"The academic departments available at CCET are Computer Science Engineering, Mechanical Engineering, Electronics And Communication Engineering, Civil Engineering, and Applied Science."
How do I apply for admissions at CCET?,You can find the admission notices and help desk information by clicking on the 'Admissions' link. [http://www.ccet.ac.in/admission_notices.php](http://www.ccet.ac.in/admission_notices.php) and [http://www.ccet.ac.in/HelpDesk.php](http://www.ccet.ac.in/HelpDesk.php)
What are the eligibility criteria for admissions at CCET?,You can find the eligibility criteria for admissions at CCET by clicking on the 'Eligibility' link under the 'Criteria' section. [https://jacchd.admissions.nic.in/eligibility-status/](https://jacchd.admissions.nic.in/eligibility-status/)
What are the student feedback and e-Akadamik links?,"You can find the student feedback link at [https://smartcookie.in/](https://smartcookie.in/), and the e-Akadamik link at [http://eakadamik.in/ccet/](http://eakadamik.in/ccet/)."
What are the mandatory disclosure reports available at CCET?,"You can find the mandatory disclosure reports, including the EoA Report 2023-24, Application Part-1, Application Part-2, and AICTE Report-Deficiency, under the 'Mandatory Disclosure' section."
What are the courses offered at CCET?,You can find the courses offered at CCET by clicking on the 'Courses Offered' link under the 'Overview' section. [http://www.ccet.ac.in/coursesOffered.php](http://www.ccet.ac.in/coursesOffered.php)
How do I apply for scholarships at CCET?,You can find the scholarship information by clicking on the 'Scholarships' link under the 'Student Section' section. [http://www.ccet.ac.in/scholarship.php](http://www.ccet.ac.in/scholarship.php)
What are the different sections available on the CCET website?,"The CCET website has various sections including About Us, Admissions, Academics, Student Section, RTI, Downloads, and Contact Us. Each section provides relevant information and resources for students, faculty, and visitors."
What can I find under the About Us section?,"The About Us section provides information about the history of CCET, its vision and mission, campus map, and how to reach the campus. You can also find details about the principal, officials, and academic heads of CCET."
What kind of life can I expect at CCET?,"CCET offers a range of facilities and activities to enhance student life. You can take a virtual tour of the campus, explore the classrooms, canteen, infrastructure, and sports facilities. The college also provides opportunities for personal growth and development."
How can I get admission to CCET?,"The admission process at CCET involves checking the admission notices,eligibility criteria, and filling out the application form. You can also reach out to the help desk for any queries. CCET offers degree courses, Ph.D. programs, and other programs. Refer to the JAC portal for more information on counselling schedules and eligibility status."
What academic departments are available at CCET?,"CCET has various academic departments including Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. Each department provides information on its overview, curriculum, and faculty members."
What are the resources available for students under the Academics section?,"The Academics section provides resources such as convocation information, student feedback forms, e-Akadamik, E-Cell, CCET Moodle, and NIRF reports. You can also find information on mandatory disclosure, courses offered, academic calendar, and academic prospectus."
What resources are available for students in the Student Section?,"The Student Section provides resources such as student forms, Vidya Lakshmi education loan, National Apprenticeship Training, scholarships, and a student grievances redressal system. You can also find information on student welfare officials and the student council."
How can I contact CCET?,"You can contact CCET through the contact us section, where you can find the address, phone numbers, and email IDs of the college. You can also reach out to the public relations department for any queries or feedback."
What is the purpose of the RTI link on the website?,The RTI link provides information on the Right to Information Act and is available at http://www.ccet.ac.in/rti.php.
How can I contact the college?,You can contact the college through the 'Contact Us' link available at http://www.ccet.ac.in/contact.php.
What is the NIRF report of the college?,The NIRF report of the college is available at http://www.ccet.ac.in/pdf/NIRFReport2023.pdf.
What are the different social media platforms where the college is present?,"The college is present on Instagram, LinkedIn, Facebook, and other platforms. You can visit these platforms through the links available on the website."
What is the history of the Chandigarh College of Engineering and Technology?,You can find the history of the college at http://www.ccet.ac.in/history.php.
What is the vision and mission of the college?,The vision and mission of the college are available at http://www.ccet.ac.in/history.php#vissionAndMission.
How can I reach the college campus?,You can find information on how to reach the college campus at http://www.ccet.ac.in/visit.php.
Who are the officials at CCET?,You can find information on the officials at CCET at http://www.ccet.ac.in/deans.php and http://www.ccet.ac.in/academicHeads.php.
What facilities are available on the college campus?,"The college campus has facilities like class rooms, canteen, infrastructure, and sports facilities. You can find more information at http://www.ccet.ac.in/infrastructure.php and http://www.ccet.ac.in/sportsFacility.php."
How can I apply for admission to the college?,You can find admission notices and help desk information at http://www.ccet.ac.in/admission_notices.php and http://www.ccet.ac.in/HelpDesk.php.
What are the different programmes offered by the college?,"The college offers degree courses, degree courses (PU-LEET), and doctorate (Phd) programmes. You can find more information at http://www.ccet.ac.in/degreeCourse.php, http://www.ccet.ac.in/leetAdmission.php, and http://www.ccet.ac.in/phd.php."
What is the eligibility criteria for admission?,You can find the eligibility criteria for admission at https://jacchd.admissions.nic.in/eligibility-status/. 
What are the different academic departments in the college?,"The college has academic departments like Computer Science Engineering, Mechanical Engineering, Electronics And Communication Engineering, Civil Engineering, and Applied Science. You can find more information at http://www.ccet.ac.in/CSE-overview.php, http://www.ccet.ac.in/MECH-overview.php, http://www.ccet.ac.in/ECE-overview.php, http://www.ccet.ac.in/CIVIL-overview.php, and http://www.ccet.ac.in/AS-overview.php."
What is the mandatory disclosure of the college?,"The college's mandatory disclosure includes EoA reports, AICTE reports, and other documents. You can find these documents at http://www.ccet.ac.in/pdf/AICTE/EOA-Report2023-24.PDF, http://www.ccet.ac.in/pdf/AICTE/Institution_Application_Report_PART1_2021-22.PDF, and other links."
What is the academic calendar of the college?,You can find the academic calendar of the college at http://www.ccet.ac.in/academicCalendar.php.
What are the student forms available on the website?,You can find student forms on the website at http://www.ccet.ac.in/forms.php.
How can I apply for scholarships?,You can find information on scholarships at http://www.ccet.ac.in/scholarship.php.
How can I register my grievances as a student?,You can register your grievances as a student at http://www.ccet.ac.in/grievances/login.php.
What is the mission and vision of Chandigarh College of Engineering and Technology?,The mission and vision of Chandigarh College of Engineering and Technology can be found on the [Vision and Mission](http://www.ccet.ac.in/history.php#vissionAndMission) page.
How do I get to Chandigarh College of Engineering and Technology?,You can find directions to the college on the [How To Reach Us](http://www.ccet.ac.in/visit.php) page.
What are the administration officials at CCET?,You can find a list of administration officials at CCET on the [Officials at CCET](http://www.ccet.ac.in/deans.php) page.
What facilities are available on campus?,"CCET offers various facilities such as [Class Rooms](http://www.ccet.ac.in/classRooms.php), [Canteen](http://www.ccet.ac.in/canteen.php), [Infrastructure](http://www.ccet.ac.in/infrastructure.php), and [Sports Facility](http://www.ccet.ac.in/sportsFacility.php)."
What programs are offered at CCET?,"CCET offers various programs such as [Degree Course](http://www.ccet.ac.in/degreeCourse.php), [Degree Course (PU-LEET)](http://www.ccet.ac.in/leetAdmission.php), and [Doctorate (Phd)](http://www.ccet.ac.in/phd.php)."
How do I apply for admission at CCET?,"You can find admission notices and help desk information on the [Admission Notices](http://www.ccet.ac.in/admission_notices.php) and [Help Desk](http://www.ccet.ac.in/HelpDesk.php) pages. Additionally, you can apply through the [JAC Portal](https://jacchd.admissions.nic.in/)."
What are the eligibility criteria for admission at CCET?,You can find eligibility criteria information on the [JAC Eligibility](https://jacchd.admissions.nic.in/eligibility-status/) page.
What academic departments are available at CCET?,"CCET has various academic departments such as [Computer Science Engineering](http://www.ccet.ac.in/CSE-overview.php), [Mechanical Engineering](http://www.ccet.ac.in/MECH-overview.php), [Electronics And Communication Engineering](http://www.ccet.ac.in/ECE-overview.php), and more."
How do I access academic resources at CCET?,"You can find academic resources such as [E-Akadamik](http://eakadamik.in/ccet/), [E-Cell](http://www.ccet.ac.in/Ecell.php), and [CCET Moodle](http://192.168.13.19/moodle/) on the [Academics](http://www.ccet.ac.in/nisp.php#) page."
What student services are available at CCET?,"CCET offers various student services such as [Student Forms](http://www.ccet.ac.in/forms.php), [Vidya Lakshmi (Education Loan)](https://www.vidyalakshmi.co.in/Students/indexPopup), [National Apprenticeship Training](http://mhrdnats.gov.in/), and [Scholarships](http://www.ccet.ac.in/scholarship.php)."
What is the Chandigarh College of Engineering and Technology?,"The Chandigarh College of Engineering and Technology is a Government Institute under Chandigarh UT Administration, affiliated to Panjab University, Chandigarh."
How do I navigate the college website?,"You can navigate the college website by using the top menu options, including About Us, Admissions, Academics, and Student Section. Each section has sub-links to relevant pages."
What is the history of the Chandigarh College of Engineering and Technology?,The history of the college can be found on the [History](http://www.ccet.ac.in/history.php) page.
What are the vision and mission of the college?,The vision and mission of the college can be found on the [Vision and Mission](http://www.ccet.ac.in/history.php#vissionAndMission) page.
How do I get to the college campus?,You can find directions to the college campus on the [How To Reach Us](http://www.ccet.ac.in/visit.php) page.
Who are the officials at CCET?,The officials at CCET can be found on the [Officials at CCET](http://www.ccet.ac.in/deans.php) page.
What are the academic departments at CCET?,"The academic departments at CCET include Computer Science Engineering, Mechanical Engineering, Electronics And Communication Engineering, Civil Engineering, and Applied Science. You can find more information on each department's page."
How do I apply for admission to CCET?,You can find admission notices and application procedures on the [Admissions](http://www.ccet.ac.in/admission_notices.php) page. You can also check the [JAC Portal](https://jacchd.admissions.nic.in/) for more information.
